# ----------------------------------------
# redballoon.com.au (Office Excluded)
# New Custom Report
# 20171211-20171211
# ----------------------------------------

Minute Index,Device Category,Region,Sessions,Revenue
000936,desktop,New South Wales,18,A$368.00
000936,desktop,Queensland,2,A$0.00
000936,desktop,South Australia,1,A$0.00
000936,desktop,Victoria,12,A$39.20
000936,desktop,Western Australia,2,A$0.00
000936,desktop,Wisconsin,1,A$0.00
000936,mobile,New South Wales,12,A$0.00
000936,mobile,Queensland,5,A$0.00
000936,mobile,South Australia,2,A$0.00
000936,mobile,Victoria,10,A$0.00
000936,mobile,Western Australia,3,A$0.00
000936,mobile,Virginia,1,A$0.00
000936,tablet,New South Wales,1,A$0.00
000936,tablet,Victoria,3,A$0.00
000936,tablet,Western Australia,1,A$0.00
000937,desktop,(not set),1,A$0.00
000937,desktop,New South Wales,7,A$80.00
000937,desktop,Queensland,3,A$0.00
000937,desktop,Victoria,9,A$120.00
000937,desktop,Western Australia,2,A$0.00
000937,desktop,Auckland,1,A$0.00
000937,mobile,New South Wales,6,A$125.00
000937,mobile,Queensland,6,A$0.00
000937,mobile,South Australia,1,A$0.00
000937,mobile,Victoria,6,A$0.00
000937,mobile,Auckland,1,A$0.00
000937,tablet,Victoria,1,A$0.00
000937,tablet,Western Australia,1,A$0.00
000938,desktop,Australian Capital Territory,1,A$0.00
000938,desktop,New South Wales,19,A$772.27
000938,desktop,Queensland,4,A$0.00
000938,desktop,South Australia,1,A$0.00
000938,desktop,Victoria,4,A$695.00
000938,desktop,Western Australia,4,A$0.00
000938,desktop,Jakarta,1,A$0.00
000938,desktop,Haryana,1,A$0.00
000938,mobile,New South Wales,5,A$0.00
000938,mobile,Queensland,4,A$0.00
000938,mobile,South Australia,1,A$0.00
000938,mobile,Tasmania,1,A$0.00
000938,mobile,Victoria,11,A$51.50
000938,mobile,Western Australia,2,A$0.00
000938,mobile,California,1,A$0.00
000938,tablet,New South Wales,5,A$0.00
000938,tablet,Victoria,1,A$0.00
000939,desktop,New South Wales,11,A$0.00
000939,desktop,Queensland,6,A$171.00
000939,desktop,Victoria,11,A$0.00
000939,desktop,Western Australia,2,A$0.00
000939,mobile,New South Wales,10,A$0.00
000939,mobile,Queensland,6,A$328.00
000939,mobile,South Australia,2,A$0.00
000939,mobile,Victoria,6,A$148.00
000939,mobile,Western Australia,1,A$0.00
000939,mobile,Delhi,1,A$0.00
000939,tablet,Australian Capital Territory,1,A$0.00
000939,tablet,New South Wales,3,A$0.00
000939,tablet,Victoria,1,A$0.00
000939,tablet,Western Australia,1,A$0.00
000939,tablet,Auckland,1,A$0.00
000940,desktop,New South Wales,6,A$0.00
000940,desktop,Queensland,6,A$0.00
000940,desktop,South Australia,2,A$0.00
000940,desktop,Victoria,14,A$0.00
000940,desktop,Western Australia,1,A$0.00
000940,desktop,British Columbia,1,A$0.00
000940,desktop,Northland,1,A$0.00
000940,desktop,Hanoi,2,A$0.00
000940,mobile,New South Wales,9,A$0.00
000940,mobile,Queensland,4,A$0.00
000940,mobile,South Australia,3,A$0.00
000940,mobile,Victoria,12,A$0.00
000940,mobile,Western Australia,2,A$0.00
000940,mobile,Northland,1,A$0.00
000940,tablet,(not set),1,A$0.00
000940,tablet,New South Wales,1,A$120.00
000940,tablet,Queensland,1,A$0.00
000940,tablet,Victoria,2,A$0.00
000941,desktop,(not set),1,A$0.00
000941,desktop,New South Wales,13,A$84.00
000941,desktop,Queensland,11,A$250.00
000941,desktop,South Australia,1,A$0.00
000941,desktop,Victoria,10,A$0.00
000941,desktop,Western Australia,3,A$0.00
000941,desktop,South Dakota,1,A$0.00
000941,mobile,New South Wales,14,A$0.00
000941,mobile,Queensland,5,A$0.00
000941,mobile,South Australia,2,A$0.00
000941,mobile,Victoria,7,A$0.00
000941,mobile,Western Australia,2,A$0.00
000941,mobile,Auckland,1,A$0.00
000941,mobile,Nelson,2,A$0.00
000941,tablet,New South Wales,1,A$0.00
000941,tablet,South Australia,1,A$0.00
000941,tablet,Victoria,1,A$0.00
000942,desktop,New South Wales,15,A$500.00
000942,desktop,Queensland,3,A$0.00
000942,desktop,Victoria,9,A$0.00
000942,desktop,Western Australia,4,A$0.00
000942,desktop,Auckland,1,A$0.00
000942,desktop,Manawatu-Wanganui,1,A$0.00
000942,mobile,New South Wales,9,A$0.00
000942,mobile,Queensland,3,A$0.00
000942,mobile,South Australia,1,A$0.00
000942,mobile,Victoria,6,A$0.00
000942,mobile,Osaka Prefecture,1,A$0.00
000942,tablet,New South Wales,2,A$0.00
000942,tablet,Victoria,2,A$0.00
000943,desktop,(not set),1,A$0.00
000943,desktop,New South Wales,11,A$99.00
000943,desktop,Queensland,8,A$0.00
000943,desktop,South Australia,2,A$0.00
000943,desktop,Victoria,11,A$0.00
000943,desktop,Western Australia,3,A$306.00
000943,mobile,New South Wales,10,A$0.00
000943,mobile,Queensland,1,A$0.00
000943,mobile,South Australia,1,A$0.00
000943,mobile,Victoria,8,A$0.00
000943,mobile,Western Australia,2,A$0.00
000943,mobile,Auckland,1,A$0.00
000943,mobile,California,1,A$0.00
000943,tablet,New South Wales,2,A$0.00
000943,tablet,Queensland,2,A$0.00
000943,tablet,Victoria,2,A$0.00
000944,desktop,New South Wales,8,A$195.00
000944,desktop,Queensland,3,A$176.00
000944,desktop,South Australia,1,A$0.00
000944,desktop,Victoria,11,A$241.83
000944,desktop,Western Australia,1,A$0.00
000944,mobile,(not set),1,A$0.00
000944,mobile,New South Wales,6,A$0.00
000944,mobile,Victoria,5,A$0.00
000944,mobile,Western Australia,1,A$0.00
000944,mobile,Texas,1,A$0.00
000944,tablet,New South Wales,1,A$0.00
000944,tablet,Queensland,1,A$0.00
000944,tablet,South Australia,1,A$0.00
000944,tablet,Victoria,1,A$0.00
000945,desktop,Australian Capital Territory,1,A$0.00
000945,desktop,New South Wales,13,A$398.00
000945,desktop,Queensland,7,A$0.00
000945,desktop,South Australia,1,A$0.00
000945,desktop,Tasmania,2,A$0.00
000945,desktop,Victoria,10,A$96.00
000945,desktop,Western Australia,4,A$71.40
000945,mobile,New South Wales,9,A$0.00
000945,mobile,Queensland,3,A$0.00
000945,mobile,Victoria,5,A$0.00
000945,mobile,Western Australia,2,A$0.00
000945,tablet,New South Wales,1,A$0.00
000945,tablet,Queensland,1,A$0.00
000945,tablet,South Australia,1,A$0.00
000946,desktop,(not set),1,A$0.00
000946,desktop,Australian Capital Territory,1,A$0.00
000946,desktop,New South Wales,12,A$0.00
000946,desktop,Northern Territory,1,A$0.00
000946,desktop,Queensland,3,A$0.00
000946,desktop,Victoria,14,A$467.00
000946,desktop,Western Australia,1,A$0.00
000946,desktop,Special Region of Yogyakarta,1,A$0.00
000946,desktop,Federal Territory of Kuala Lumpur,1,A$0.00
000946,mobile,New South Wales,14,A$250.00
000946,mobile,Queensland,4,A$0.00
000946,mobile,Victoria,11,A$0.00
000946,mobile,Western Australia,1,A$0.00
000946,tablet,New South Wales,1,A$0.00
000946,tablet,Queensland,1,A$84.00
000946,tablet,Western Australia,1,A$0.00
000947,desktop,(not set),1,A$0.00
000947,desktop,New South Wales,8,A$0.00
000947,desktop,Queensland,1,A$0.00
000947,desktop,South Australia,2,A$0.00
000947,desktop,Victoria,14,A$0.00
000947,desktop,Western Australia,2,A$0.00
000947,mobile,New South Wales,10,A$0.00
000947,mobile,Queensland,2,A$0.00
000947,mobile,Victoria,12,A$299.00
000947,mobile,Western Australia,2,A$0.00
000947,mobile,Bay Of Plenty,1,A$0.00
000947,tablet,New South Wales,1,A$0.00
000948,desktop,Australian Capital Territory,1,A$0.00
000948,desktop,New South Wales,14,A$159.00
000948,desktop,Queensland,5,A$0.00
000948,desktop,Victoria,12,A$0.00
000948,desktop,Western Australia,3,A$99.00
000948,desktop,Virginia,1,A$0.00
000948,desktop,Taipei City,5,A$0.00
000948,mobile,New South Wales,6,A$0.00
000948,mobile,Queensland,2,A$0.00
000948,mobile,South Australia,1,A$0.00
000948,mobile,Victoria,10,A$0.00
000948,mobile,Alberta,1,A$0.00
000948,mobile,Virginia,1,A$0.00
000948,tablet,(not set),2,A$0.00
000948,tablet,New South Wales,1,A$0.00
000948,tablet,Northern Territory,2,A$0.00
000948,tablet,Victoria,3,A$0.00
000949,desktop,New South Wales,17,A$125.00
000949,desktop,Queensland,2,A$0.00
000949,desktop,South Australia,1,A$0.00
000949,desktop,Victoria,7,A$96.00
000949,desktop,Western Australia,3,A$0.00
000949,desktop,Berlin,1,A$0.00
000949,desktop,Auckland,1,A$0.00
000949,desktop,Washington,1,A$0.00
000949,mobile,New South Wales,19,A$0.00
000949,mobile,Queensland,3,A$0.00
000949,mobile,South Australia,4,A$0.00
000949,mobile,Victoria,11,A$0.00
000949,mobile,Western Australia,4,A$0.00
000949,mobile,Auckland,1,A$0.00
000949,mobile,Rhode Island,1,A$0.00
000949,tablet,Queensland,1,A$0.00
000949,tablet,Victoria,1,A$0.00
000950,desktop,New South Wales,8,A$0.00
000950,desktop,Queensland,6,A$0.00
000950,desktop,South Australia,1,A$0.00
000950,desktop,Victoria,10,A$0.00
000950,desktop,Western Australia,6,A$0.00
000950,desktop,New Jersey,3,A$0.00
000950,mobile,New South Wales,11,A$0.00
000950,mobile,Queensland,5,A$0.00
000950,mobile,South Australia,3,A$0.00
000950,mobile,Victoria,8,A$0.00
000950,mobile,Western Australia,2,A$0.00
000950,mobile,Auckland,1,A$0.00
000950,tablet,New South Wales,2,A$0.00
000950,tablet,Victoria,3,A$0.00
000951,desktop,New South Wales,6,A$0.00
000951,desktop,Queensland,1,A$0.00
000951,desktop,South Australia,2,A$0.00
000951,desktop,Victoria,10,A$284.00
000951,desktop,Western Australia,2,A$0.00
000951,desktop,Virginia,1,A$0.00
000951,mobile,(not set),1,A$0.00
000951,mobile,New South Wales,9,A$0.00
000951,mobile,Queensland,5,A$0.00
000951,mobile,South Australia,1,A$0.00
000951,mobile,Victoria,4,A$0.00
000951,tablet,Australian Capital Territory,2,A$0.00
000951,tablet,New South Wales,4,A$0.00
000951,tablet,Victoria,6,A$0.00
000951,tablet,Western Australia,1,A$0.00
000952,desktop,Australian Capital Territory,2,A$0.00
000952,desktop,New South Wales,10,A$0.00
000952,desktop,Queensland,4,A$0.00
000952,desktop,Victoria,4,A$0.00
000952,desktop,Western Australia,2,A$262.00
000952,desktop,Oregon,1,A$0.00
000952,mobile,New South Wales,7,A$0.00
000952,mobile,Queensland,5,A$0.00
000952,mobile,South Australia,5,A$0.00
000952,mobile,Victoria,6,A$255.00
000952,mobile,Western Australia,2,A$0.00
000952,tablet,New South Wales,4,A$0.00
000952,tablet,Victoria,1,A$0.00
000952,tablet,Texas,1,A$0.00
000953,desktop,New South Wales,7,A$159.00
000953,desktop,Queensland,1,A$0.00
000953,desktop,South Australia,2,A$130.00
000953,desktop,Victoria,7,A$0.00
000953,desktop,Western Australia,2,A$0.00
000953,desktop,Hesse,1,A$0.00
000953,desktop,Gauteng,1,A$0.00
000953,mobile,New South Wales,9,A$0.00
000953,mobile,Queensland,4,A$0.00
000953,mobile,South Australia,3,A$0.00
000953,mobile,Victoria,8,A$0.00
000953,mobile,Western Australia,4,A$0.00
000953,mobile,Texas,1,A$0.00
000953,mobile,Otago,1,A$0.00
000953,tablet,New South Wales,1,A$104.00
000953,tablet,Queensland,1,A$0.00
000953,tablet,Victoria,2,A$0.00
000954,desktop,(not set),2,A$0.00
000954,desktop,New South Wales,14,A$0.00
000954,desktop,Queensland,2,A$0.00
000954,desktop,South Australia,1,A$0.00
000954,desktop,Tasmania,1,A$0.00
000954,desktop,Victoria,8,A$0.00
000954,desktop,Western Australia,4,A$45.20
000954,desktop,Bali,1,A$0.00
000954,desktop,Taipei City,1,A$0.00
000954,mobile,New South Wales,10,A$0.00
000954,mobile,Queensland,5,A$0.00
000954,mobile,Victoria,7,A$0.00
000954,mobile,Western Australia,3,A$0.00
000954,mobile,England,1,A$0.00
000954,tablet,New South Wales,2,A$0.00
000954,tablet,Queensland,1,A$0.00
000954,tablet,South Australia,1,A$0.00
000954,tablet,Victoria,2,A$146.00
000954,tablet,Western Australia,1,A$0.00
000954,tablet,Western Cape,1,A$0.00
000955,desktop,New South Wales,10,A$95.00
000955,desktop,Queensland,1,A$0.00
000955,desktop,South Australia,1,A$0.00
000955,desktop,Victoria,11,A$150.00
000955,desktop,Western Australia,2,A$0.00
000955,desktop,Virginia,1,A$0.00
000955,mobile,New South Wales,7,A$0.00
000955,mobile,Queensland,3,A$50.00
000955,mobile,South Australia,1,A$0.00
000955,mobile,Victoria,10,A$0.00
000955,mobile,Western Australia,2,A$0.00
000955,mobile,Ontario,1,A$0.00
000955,mobile,North Dakota,1,A$0.00
000955,tablet,New South Wales,3,A$0.00
000955,tablet,Victoria,1,A$0.00
000956,desktop,Australian Capital Territory,1,A$0.00
000956,desktop,New South Wales,6,A$130.00
000956,desktop,Queensland,4,A$0.00
000956,desktop,South Australia,1,A$0.00
000956,desktop,Victoria,12,A$192.49
000956,desktop,Western Australia,1,A$136.00
000956,desktop,Auckland,1,A$0.00
000956,mobile,New South Wales,9,A$218.00
000956,mobile,Queensland,1,A$0.00
000956,mobile,Victoria,10,A$0.00
000956,mobile,Western Australia,3,A$0.00
000956,mobile,Auckland,1,A$0.00
000956,tablet,New South Wales,4,A$0.00
000956,tablet,Victoria,1,A$0.00
000957,desktop,(not set),1,A$0.00
000957,desktop,New South Wales,12,A$0.00
000957,desktop,Queensland,3,A$0.00
000957,desktop,South Australia,1,A$0.00
000957,desktop,Tasmania,1,A$0.00
000957,desktop,Victoria,13,A$0.00
000957,desktop,Western Australia,3,A$0.00
000957,desktop,California,1,A$0.00
000957,desktop,Nelson,1,A$0.00
000957,mobile,New South Wales,4,A$0.00
000957,mobile,Queensland,6,A$0.00
000957,mobile,South Australia,1,A$0.00
000957,mobile,Tasmania,1,A$0.00
000957,mobile,Victoria,10,A$0.00
000957,mobile,Western Australia,2,A$0.00
000958,desktop,(not set),1,A$150.04
000958,desktop,Australian Capital Territory,1,A$0.00
000958,desktop,New South Wales,13,A$0.00
000958,desktop,Queensland,9,A$102.00
000958,desktop,South Australia,1,A$70.00
000958,desktop,Victoria,9,A$70.00
000958,desktop,Western Australia,2,A$0.00
000958,desktop,New Jersey,1,A$0.00
000958,mobile,(not set),1,A$0.00
000958,mobile,New South Wales,2,A$0.00
000958,mobile,Queensland,7,A$0.00
000958,mobile,South Australia,1,A$0.00
000958,mobile,Victoria,9,A$0.00
000958,mobile,Western Australia,4,A$0.00
000958,mobile,New York,1,A$0.00
000958,tablet,New South Wales,3,A$0.00
000958,tablet,Victoria,1,A$0.00
000958,tablet,New York,1,A$0.00
000959,desktop,New South Wales,13,A$60.00
000959,desktop,Queensland,2,A$0.00
000959,desktop,Tasmania,2,A$0.00
000959,desktop,Victoria,4,A$99.00
000959,desktop,Western Australia,4,A$0.00
000959,desktop,Delhi,1,A$0.00
000959,mobile,New South Wales,8,A$0.00
000959,mobile,Queensland,7,A$0.00
000959,mobile,South Australia,2,A$0.00
000959,mobile,Victoria,4,A$0.00
000959,mobile,Western Australia,1,A$0.00
000959,tablet,Queensland,2,A$0.00
000959,tablet,Victoria,2,A$0.00
000960,desktop,New South Wales,9,A$298.00
000960,desktop,Queensland,5,A$0.00
000960,desktop,South Australia,3,A$0.00
000960,desktop,Tasmania,1,A$0.00
000960,desktop,Victoria,9,A$0.00
000960,desktop,Western Australia,4,A$0.00
000960,desktop,Gujarat,1,A$0.00
000960,desktop,Auckland,1,A$0.00
000960,desktop,California,1,A$0.00
000960,desktop,Georgia,1,A$0.00
000960,mobile,New South Wales,9,A$0.00
000960,mobile,Queensland,7,A$0.00
000960,mobile,South Australia,4,A$0.00
