# ----------------------------------------
# redballoon.com.au (Office Excluded)
# New Custom Report
# 20171211-20171211
# ----------------------------------------

Minute Index,Device Category,Region,Sessions,Revenue
000000,desktop,New South Wales,10,A$80.00
000000,desktop,Queensland,3,A$0.00
000000,desktop,Tasmania,1,A$0.00
000000,desktop,Victoria,6,A$0.00
000000,desktop,Western Australia,5,A$0.00
000000,mobile,Australian Capital Territory,1,A$0.00
000000,mobile,New South Wales,8,A$0.00
000000,mobile,Northern Territory,1,A$0.00
000000,mobile,Queensland,7,A$0.00
000000,mobile,South Australia,1,A$0.00
000000,mobile,Victoria,14,A$0.00
000000,mobile,Western Australia,6,A$0.00
000000,tablet,(not set),1,A$0.00
000000,tablet,New South Wales,1,A$0.00
000000,tablet,Queensland,4,A$0.00
000000,tablet,Victoria,3,A$0.00
000000,tablet,Western Australia,5,A$0.00
000001,desktop,New South Wales,3,A$0.00
000001,desktop,Victoria,1,A$0.00
000001,desktop,Western Australia,1,A$0.00
000001,desktop,Scotland,1,A$0.00
000001,mobile,New South Wales,2,A$0.00
000001,mobile,Queensland,3,A$0.00
000001,mobile,Victoria,9,A$0.00
000001,mobile,Western Australia,2,A$0.00
000001,mobile,England,1,A$0.00
000001,tablet,Western Australia,1,A$0.00
000001,tablet,Scotland,1,A$0.00
000002,desktop,New South Wales,1,A$229.00
000002,desktop,Northern Territory,1,A$0.00
000002,desktop,Queensland,1,A$0.00
000002,desktop,Western Australia,1,A$0.00
000002,mobile,New South Wales,1,A$0.00
000002,mobile,Queensland,2,A$0.00
000002,mobile,Victoria,6,A$0.00
000002,mobile,Western Australia,1,A$0.00
000002,mobile,County Dublin,1,A$0.00
000002,mobile,Phnom Penh,1,A$0.00
000002,tablet,Victoria,0,A$200.00
000003,desktop,New South Wales,4,A$0.00
000003,desktop,Queensland,4,A$0.00
000003,desktop,Western Australia,3,A$0.00
000003,desktop,England,1,A$0.00
000003,mobile,New South Wales,1,A$0.00
000003,mobile,Tasmania,1,A$0.00
000003,mobile,Victoria,6,A$0.00
000003,mobile,Western Australia,4,A$0.00
000003,tablet,South Australia,1,A$0.00
000003,tablet,Western Australia,1,A$0.00
000004,desktop,New South Wales,1,A$0.00
000004,desktop,Victoria,3,A$0.00
000004,desktop,Western Australia,1,A$0.00
000004,mobile,New South Wales,1,A$0.00
000004,mobile,Queensland,3,A$0.00
000004,mobile,South Australia,1,A$0.00
000004,mobile,Victoria,5,A$0.00
000004,mobile,Western Australia,3,A$0.00
000004,mobile,England,0,A$137.78
000004,tablet,New South Wales,3,A$0.00
000005,desktop,New South Wales,2,A$0.00
000005,desktop,Tasmania,1,A$0.00
000005,desktop,Victoria,1,A$0.00
000005,desktop,Western Australia,1,A$0.00
000005,mobile,New South Wales,3,A$0.00
000005,mobile,Queensland,4,A$0.00
000005,mobile,Western Australia,5,A$0.00
000005,mobile,England,1,A$0.00
000005,mobile,Maharashtra,1,A$0.00
000005,tablet,Queensland,2,A$0.00
000005,tablet,Victoria,1,A$0.00
000006,desktop,New South Wales,2,A$219.00
000006,desktop,Western Australia,1,A$0.00
000006,mobile,New South Wales,6,A$0.00
000006,mobile,Victoria,4,A$0.00
000006,mobile,Western Australia,5,A$0.00
000006,tablet,Queensland,2,A$0.00
000007,desktop,New South Wales,1,A$0.00
000007,desktop,Queensland,1,A$0.00
000007,desktop,Victoria,4,A$0.00
000007,mobile,New South Wales,2,A$0.00
000007,mobile,Queensland,1,A$0.00
000007,mobile,South Australia,1,A$0.00
000007,mobile,Victoria,8,A$0.00
000007,mobile,Western Australia,3,A$0.00
000007,tablet,Australian Capital Territory,2,A$0.00
000007,tablet,New South Wales,2,A$0.00
000008,desktop,New South Wales,3,A$0.00
