Minute Index,Device Category,Region,Sessions,Revenue
0,desktop,New South Wales,10,80
0,desktop,Queensland,3,0
0,desktop,Tasmania,1,0
0,desktop,Victoria,6,0
0,desktop,Western Australia,5,0
0,mobile,Australian Capital Territory,1,0
0,mobile,New South Wales,8,0
0,mobile,Northern Territory,1,0
0,mobile,Queensland,7,0
0,mobile,South Australia,1,0
0,mobile,Victoria,14,0
0,mobile,Western Australia,6,0
0,tablet,(not set),1,0
0,tablet,New South Wales,1,0
0,tablet,Queensland,4,0
0,tablet,Victoria,3,0
0,tablet,Western Australia,5,0
1,desktop,New South Wales,3,0
1,desktop,Victoria,1,0
1,desktop,Western Australia,1,0
1,desktop,Scotland,1,0
1,mobile,New South Wales,2,0
1,mobile,Queensland,3,0
1,mobile,Victoria,9,0
1,mobile,Western Australia,2,0
1,mobile,England,1,0
1,tablet,Western Australia,1,0
1,tablet,Scotland,1,0
2,desktop,New South Wales,1,229
2,desktop,Northern Territory,1,0
2,desktop,Queensland,1,0
2,desktop,Western Australia,1,0
2,mobile,New South Wales,1,0
2,mobile,Queensland,2,0
2,mobile,Victoria,6,0
2,mobile,Western Australia,1,0
2,mobile,County Dublin,1,0
2,mobile,Phnom Penh,1,0
2,tablet,Victoria,0,200
3,desktop,New South Wales,4,0
3,desktop,Queensland,4,0
3,desktop,Western Australia,3,0
3,desktop,England,1,0
3,mobile,New South Wales,1,0
3,mobile,Tasmania,1,0
3,mobile,Victoria,6,0
3,mobile,Western Australia,4,0
3,tablet,South Australia,1,0
3,tablet,Western Australia,1,0
4,desktop,New South Wales,1,0
4,desktop,Victoria,3,0
4,desktop,Western Australia,1,0
4,mobile,New South Wales,1,0
4,mobile,Queensland,3,0
4,mobile,South Australia,1,0
4,mobile,Victoria,5,0
4,mobile,Western Australia,3,0
4,mobile,England,0,137.78
4,tablet,New South Wales,3,0
5,desktop,New South Wales,2,0
5,desktop,Tasmania,1,0
5,desktop,Victoria,1,0
5,desktop,Western Australia,1,0
5,mobile,New South Wales,3,0
